field,accuracy,precision,recall,f1,tp,tn,fp,fn
incomplete_answer,1.0,0.0,0.0,0.0,0,50,0,0
safety_violations,1.0,0.0,0.0,0.0,0,50,0,0
unrealistic_tools,1.0,0.0,0.0,0.0,0,50,0,0
overcomplicated_solution,1.0,0.0,0.0,0.0,0,50,0,0
missing_context,1.0,0.0,0.0,0.0,0,50,0,0
poor_quality_tips,0.98,0.0,0.0,0.0,0,49,1,0
overall_failed,0.94,0.0,0.0,0.0,0,47,3,0
quality.answer_coherence,1.0,0.0,0.0,0.0,0,50,0,0
quality.step_actionability,1.0,0.0,0.0,0.0,0,50,0,0
quality.tool_realism,1.0,0.0,0.0,0.0,0,50,0,0
quality.safety_specificity,0.96,0.0,0.0,0.0,0,48,2,0
quality.tip_usefulness,0.98,0.0,0.0,0.0,0,49,1,0
quality.problem_answer_alignment,1.0,0.0,0.0,0.0,0,50,0,0
quality.appropriate_scope,1.0,0.0,0.0,0.0,0,50,0,0
quality.category_accuracy,1.0,0.0,0.0,0.0,0,50,0,0
