id,category,prompt,question,equipment_problem,answer,tools_required,steps,safety_info,tips,incomplete_answer,safety_violations,unrealistic_tools,overcomplicated_solution,missing_context,poor_quality_tips,overall_failed,quality_answer_coherence,quality_step_actionability,quality_tool_realism,quality_safety_specificity,quality_tip_usefulness,quality_problem_answer_alignment,quality_appropriate_scope,quality_category_accuracy,notes
1,appliance,"System prompt:
You are a DIY appliance repair expert (refrigerators, washers, dryers, etc.). 

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[]",Why is my washing machine making a loud banging noise during the spin cycle?,Washing machine loud banging noise during spin cycle,"A loud banging noise during the spin cycle is often caused by an unbalanced load or worn suspension springs. First, stop the machine and redistribute the clothes evenly. If the problem persists, check the suspension springs for damage and replace them if necessary.","[""screwdriver"", ""wrench"", ""replacement suspension springs""]","[""1. Turn off and unplug the washing machine."", ""2. Open the washing machine door and redistribute the clothes evenly to balance the load."", ""3. Close the door and run a short spin cycle to see if the noise persists."", ""4. If the noise continues, unplug the machine and remove the back panel using a screwdriver."", ""5. Inspect the suspension springs for signs of wear or damage."", ""6. If damaged, use a wrench to remove and replace the suspension springs with new ones."", ""7. Reattach the back panel and plug the machine back in."", ""8. Run a test spin cycle to confirm the noise issue is resolved.""]",Always unplug the washing machine before attempting any repairs to prevent electrical shock. Use caution when handling heavy parts and sharp tools.,"[""Avoid overloading the washing machine to prevent unbalanced loads."", ""Use a stable and level surface for the washing machine to minimize vibrations."", ""Check the suspension springs annually for wear to catch problems early.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Plumbing,"System prompt:
You are a DIY plumbing expert (leaks, clogs, fixture repairs, pipe problems, etc.).

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[]",How do I stop my bathroom sink from leaking underneath when I turn on the faucet?,Bathroom sink leaking under the sink when the faucet is turned on,"First, check if the leak is coming from the faucet connections or the drain pipe. Tighten any loose connections with a wrench. If the leak persists, you may need to replace the rubber gasket or washers inside the faucet or drain assembly. Turn off the water supply before disassembling anything. After replacing the faulty parts, reassemble and turn the water back on to check for leaks.","[""adjustable wrench"", ""plumber's tape"", ""bucket"", ""replacement washers or gasket""]","[""1. Turn off the water supply valves under the sink."", ""2. Place a bucket under the sink to catch any water."", ""3. Use the adjustable wrench to tighten any loose connections on the faucet and drain pipes."", ""4. If leaks continue, disassemble the faucet or drain to inspect washers and gaskets."", ""5. Replace any damaged washers or gaskets with new ones."", ""6. Reassemble the faucet or drain assembly."", ""7. Turn the water supply back on and check for leaks.""]",Ensure the water supply is turned off before disassembling plumbing components to prevent water damage and potential injury.,"[""Use plumber's tape on threaded connections to ensure a watertight seal."", ""Inspect washers and gaskets regularly to prevent leaks before they start."", ""Have a towel handy to clean up any minor water spills during the repair.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,electrical,"System prompt:
You are a diy electrical expert (outlet replacement, switch repair, light fixture installation, etc.). Provide onlly repairs that can be safely performed by a home owner.

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[]",How do I replace a faulty light switch that doesn't turn the light on or off?,"Light switch not functioning properly, preventing the light from turning on or off.","First, turn off the power at the circuit breaker to ensure safety. Remove the switch cover plate using a screwdriver. Unscrew the switch from the electrical box and gently pull it out to expose the wires. Note how the wires are connected, then disconnect them. Connect the new switch by attaching the wires to the corresponding terminals. Secure the switch back into the electrical box, replace the cover plate, and turn the power back on to test the new switch.","[""Screwdriver"", ""Voltage tester"", ""Replacement light switch""]","[""1. Turn off the power to the switch at the circuit breaker."", ""2. Use a screwdriver to remove the switch cover plate."", ""3. Unscrew the existing switch from the electrical box and pull it out to reveal the wiring."", ""4. Use a voltage tester to ensure no power is present."", ""5. Note the wiring configuration, then disconnect the wires from the old switch."", ""6. Attach the wires to the new switch terminals following the same configuration."", ""7. Secure the new switch into the electrical box and replace the cover plate."", ""8. Turn the circuit breaker back on and test the new switch operation.""]",Always ensure the power is off using a voltage tester before touching any wiring to avoid electrical shock.,"[""Label wires before disconnecting to remember their positions."", ""Take a photo of the wiring setup before removal for reference."", ""Use a voltage tester to double-check that the power is off before starting work.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,hvac,"System prompt:
You are a diy HVAC repair expert (filter changes, thermostat issues, vent cleaning, basic troubleshooting).

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[]","My living room air vents have accumulated a lot of dust and debris, and airflow seems weaker than usual. How can I clean the vents effectively to improve air quality and flow?",Dirty and clogged air vents reducing airflow and air quality.,"To clean your air vents and improve airflow, first turn off your HVAC system. Remove the vent covers using a screwdriver. Clean the covers with warm soapy water and a brush. Vacuum inside the vent ducts as far as possible using a vacuum with a hose attachment. Wipe the vent openings with a damp cloth to remove dust. Allow everything to dry before reinstalling the covers and turning the system back on.","[""Screwdriver"", ""Vacuum cleaner with hose attachment"", ""Brush"", ""Cloth""]","[""1. Turn off the HVAC system to ensure safety."", ""2. Use the screwdriver to remove the vent covers."", ""3. Soak the vent covers in warm soapy water and scrub with a brush to remove dust and grime."", ""4. Vacuum inside the vents using the hose attachment to remove dust and debris."", ""5. Wipe the vent openings with a damp cloth to clean remaining dust."", ""6. Allow the vent covers to dry completely before reinstalling."", ""7. Reinstall the vent covers and turn the HVAC system back on.""]",Always turn off your HVAC system before cleaning vents to avoid injury or damage. Use caution when removing vent covers to prevent damage to walls or vents.,"[""Wear a dust mask to avoid inhaling dust."", ""Regularly cleaning vents every 3-6 months helps maintain good airflow."", ""Use a flashlight to inspect inside the vents for heavy buildup or mold."", ""Consider professional duct cleaning if vents remain clogged after cleaning.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,general,"System prompt:
You are a general home repair diyy expert (drywall, doors/windows, flooring, basic carpentry).

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[]",How can I fix a sticking interior wooden door that won't close properly?,Interior wooden door sticking and not closing properly.,"To fix a sticking interior wooden door, you should first identify where the door is sticking. Common causes include swelling due to humidity or misalignment of the door frame. You can sand down the areas where the door rubs against the frame and then repaint or refinish the trimmed area to prevent further damage. If the door is misaligned, tightening or adjusting the hinges may help.","[""Sanding block or sandpaper"", ""Screwdriver"", ""Wood filler"", ""Paintbrush"", ""Paint or finish""]","[""1. Identify the areas where the door is sticking by slowly closing it and noting where it rubs."", ""2. Remove the door from its hinges using the screwdriver if necessary to make sanding easier."", ""3. Sand down the areas where the door sticks using a sanding block or sandpaper until the door fits properly in the frame."", ""4. Apply wood filler to any gouges or rough patches and let it dry as per instructions."", ""5. Repaint or refinish the sanded areas to match the door and protect the wood."", ""6. Rehang the door and test to ensure it closes smoothly."", ""7. Adjust hinge screws if necessary to improve alignment.""]",Wear safety goggles and a dust mask when sanding to avoid inhaling dust. Ensure the door is properly supported when removing it to prevent injury.,"[""Check door alignment before sanding to avoid unnecessary work."", ""Use fine-grit sandpaper for a smooth finish."", ""Apply paint or finish evenly to protect the wood from humidity.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,appliance,"System prompt:
You are a DIY appliance repair expert (refrigerators, washers, dryers, etc.). 

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""Why is my washing machine making a loud banging noise during the spin cycle?""
]",What should I do if my dryer stops heating but still runs the drum?,Dryer runs but does not heat,"If your dryer drum is turning but it is not heating, the problem might be with the heating element, thermal fuse, or a faulty thermostat. Start by unplugging the dryer and checking the lint filter and vent for blockages. Then, use a multimeter to test the heating element and thermal fuse for continuity. Replace any defective parts. Reassemble and test the dryer for heating.","[""multimeter"", ""screwdriver"", ""replacement heating element or thermal fuse""]","[""1. Unplug the dryer and clean the lint filter and vent to ensure proper airflow."", ""2. Remove the dryer’s back panel using a screwdriver to access the heating element and thermal fuse."", ""3. Use a multimeter to test the heating element and thermal fuse for continuity."", ""4. Replace any faulty parts with new ones."", ""5. Reassemble the dryer and plug it back in."", ""6. Run a test cycle to ensure the dryer is heating properly.""]",Always unplug the dryer before attempting any repairs to avoid electric shock. Handle electrical components with care.,"[""Regularly clean the lint filter and dryer vent to prevent overheating and maintain efficiency."", ""If you’re unsure about using a multimeter, consider consulting a professional technician."", ""Keep replacement parts compatible with your dryer’s model number for best results.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Plumbing,"System prompt:
You are a DIY plumbing expert (leaks, clogs, fixture repairs, pipe problems, etc.).

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""How do I stop my bathroom sink from leaking underneath when I turn on the faucet?""
]",What should I do if my kitchen faucet is dripping continuously even when it's turned off?,Dripping kitchen faucet,"A dripping kitchen faucet usually means there is a worn-out washer or cartridge that needs to be replaced. Start by shutting off the water supply to the faucet, then disassemble the faucet handle to access the cartridge or washer. Replace the faulty parts with new ones specific to your faucet model, reassemble, and turn the water back on to check if the dripping has stopped.","[""adjustable wrench"", ""screwdriver"", ""replacement washer or cartridge"", ""plumber's grease""]","[""1. Turn off the water supply valves under the sink."", ""2. Open the faucet to drain any remaining water."", ""3. Use a screwdriver to remove the handle of the faucet."", ""4. Use an adjustable wrench to remove the cartridge or access the washer."", ""5. Inspect the cartridge or washer and replace it with a new one if worn out."", ""6. Apply plumber's grease on the new parts before reassembling."", ""7. Reassemble the faucet and turn on the water supply."", ""8. Check if the dripping has stopped.""]",Always ensure the water supply is turned off before disassembling the faucet to avoid water damage and potential injury.,"[""Take a photo of the assembly before disassembling to help with reassembly."", ""Use manufacturer-specific replacement parts to ensure proper fit and function."", ""If the drip persists after replacement, consider checking the valve seat for damage.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,electrical,"System prompt:
You are a diy electrical expert (outlet replacement, switch repair, light fixture installation, etc.). Provide onlly repairs that can be safely performed by a home owner.

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""How do I replace a faulty light switch that doesn't turn the light on or off?""
]",What steps should I follow to safely replace a damaged electrical outlet in my living room?,Damaged electrical outlet not functioning properly,"To replace a damaged electrical outlet, first turn off the power to the outlet from the circuit breaker. Use a voltage tester to confirm the power is off. Remove the outlet cover and unscrew the old outlet. Note the wiring configuration, then disconnect the wires. Connect the wires to the new outlet terminals, matching the wiring configuration. Secure the outlet into the box, replace the cover, and turn the power back on. Test the outlet to ensure it works correctly.","[""screwdriver"", ""voltage tester"", ""wire stripper""]","[""1. Turn off the power to the outlet at the circuit breaker."", ""2. Use a voltage tester to ensure no electrical current is present."", ""3. Remove the outlet cover plate using a screwdriver."", ""4. Unscrew and carefully pull out the old outlet from the electrical box."", ""5. Note the wire connections and disconnect the wires from the old outlet."", ""6. Connect the wires to the new outlet, matching the original connections."", ""7. Secure the new outlet into the electrical box with screws."", ""8. Replace the outlet cover plate."", ""9. Turn the power back on at the circuit breaker."", ""10. Test the new outlet with a device or outlet tester to confirm proper operation.""]","Always ensure power is turned off at the breaker before handling electrical wiring. Use a voltage tester to confirm no live current is present. If uncertain, consult a professional electrician.","[""Take a photo of the existing wiring before disconnecting to help with reinstallation."", ""Use wire strippers to cleanly strip wires if needed for a good connection."", ""Do not force wires onto terminals if they do not fit; check for correct size and type.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,hvac,"System prompt:
You are a diy HVAC repair expert (filter changes, thermostat issues, vent cleaning, basic troubleshooting).

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""My living room air vents have accumulated a lot of dust and debris, and airflow seems weaker than usual. How can I clean the vents effectively to improve air quality and flow?""
]",The air coming from my HVAC vents has a strange musty smell. How can I identify and fix the source of the odor?,Musty smell in HVAC vents,"To fix the musty smell coming from your HVAC vents, start by checking and changing the air filter, as a dirty filter often causes odors. Then, clean the vents and ducts to remove dust and mold buildup. If the smell persists, inspect the condensate drain for clogs or stagnation and clean it. Finally, consider using an HVAC vent cleaner spray or deodorizer.","[""Screwdriver"", ""Vacuum cleaner with brush attachment"", ""Replacement air filter"", ""Cleaning cloths"", ""HVAC vent cleaner spray""]","[""1. Turn off the HVAC system and open the vents using a screwdriver if needed."", ""2. Remove and inspect the air filter; replace it if dirty."", ""3. Use a vacuum cleaner with a brush attachment to clean dust and debris from the vents."", ""4. Wipe down vent surfaces with cleaning cloths to remove any mold or residue."", ""5. Check the condensate drain for clogs; clean it if necessary."", ""6. Optionally, spray an HVAC vent cleaner or deodorizer into the vents before closing them."", ""7. Turn the system back on and monitor if the smell has improved.""]",Always turn off the HVAC system and disconnect power before performing maintenance to avoid electric shock or injury. Use gloves and a mask if dealing with mold or dust to prevent irritation.,"[""Replace air filters regularly every 1-3 months depending on usage."", ""Keep humidity levels low to prevent mold growth in vents."", ""Schedule professional duct cleaning if odors persist despite cleaning efforts.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,general,"System prompt:
You are a general home repair diyy expert (drywall, doors/windows, flooring, basic carpentry).

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""How can I fix a sticking interior wooden door that won't close properly?""
]",How do I repair a small hole in my drywall caused by a doorknob?,Small hole in drywall from doorknob impact.,"To repair a small hole in drywall caused by a doorknob, you need to clean the hole, apply a patch if necessary, use joint compound to fill and smooth the area, sand it once dry, and then repaint to match the wall.","[""putty knife"", ""sandpaper"", ""drywall patch (optional)"", ""joint compound"", ""paint"", ""paintbrush or roller""]","[""1. Remove any loose drywall around the hole to create a clean edge."", ""2. If the hole is larger than about 1/2 inch, apply a drywall patch over it."", ""3. Use a putty knife to apply joint compound over the hole or patch, feathering the edges to blend with the wall."", ""4. Let the compound dry completely, then sand smooth with fine-grit sandpaper."", ""5. Wipe away dust and apply paint to match the surrounding wall.""]",Wear a dust mask when sanding to avoid inhaling drywall dust. Work in a well-ventilated area when painting.,"[""If the hole is very small, you might skip the patch and fill directly with joint compound."", ""Apply multiple thin layers of joint compound for best results, allowing each to dry before applying the next."", ""Use a putty knife with a flexible blade for smoother application.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
